RANK,PLAYER,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,FPTS
,Foster Moreau,,TE,LV,8,,,,,,,,1,4,4.3,0,33,24,272,11.6,3.3,,,,,,47.4
,Jordan Akins,,TE,HOU,10,,,,,,,,0,0,--,0,57,34,345,10.2,2.1,,,,,,47.1
,Maxx Williams,,TE,ARI,12,,,,,,,,0,0,--,0,42,27,280,10.5,3,,,,,,46
,Johnny Mundt,,TE,LAR,11,,,,,,,,0,0,--,0,35,24,286,11.8,2.8,,,,,,45.4
,Donald Parham Jr.,,TE,LAC,7,,,,,,,,0,0,--,0,34,24,248,10.3,3,,,,,,42.8
,Jace Sternberger,,TE,GB,13,,,,,,,,0,0,--,0,37,26,259,10,2.7,,,,,,42.1
,Pharaoh Brown,,TE,HOU,10,,,,,,,,0,0,--,0,41,26,275,10.4,2.4,,,,,,41.9
,Luke Farrell,,TE,JAC,7,,,,,,,,0,0,--,0,49,30,299,9.8,1.8,,,,,,40.7
,Chris Manhertz,,TE,JAC,7,,,,,,,,0,0,--,0,44,28,304,10.7,1.7,,,,,,40.6
,Will Dissly,,TE,SEA,9,,,,,,,,0,2,--,0,38,25,242,9.5,2.3,,,,,,38.2
,Kyle Rudolph,,TE,NYG,10,,,,,,,,0,0,--,0,41,29,256,8.8,2,,,,,,37.6
,Nick Vannett,,TE,NO,6,,,,,,,,0,0,--,0,31,22,238,11.1,2.2,,,,,,37
,Pat Freiermuth,,TE,PIT,7,,,,,,,,0,0,--,0,40,28,273,9.9,1.5,,,,,,36.3
,Albert Okwuegbunam,,TE,DEN,11,,,,,,,,0,0,--,0,36,24,205,8.7,2.5,,,,,,35.5
,Nick Boyle,,TE,BAL,8,,,,,,,,0,0,--,0,34,24,233,9.9,1.9,,,,,,34.7
,John Bates,,TE,WAS,9,,,,,,,,0,0,--,0,32,20,224,11.1,1.7,,,,,,32.6
,Adam Shaheen,,TE,MIA,14,,,,,,,,0,0,--,0,32,23,215,9.5,1.8,,,,,,32.3
,Tommy Sweeney,,TE,BUF,7,,,,,,,,0,0,--,0,30,18,189,10.2,2.2,,,,,,32.1
,Ross Dwelley,,TE,SF,6,,,,,,,,0,0,--,0,27,20,213,10.9,1.8,,,,,,32.1
,Darrell Daniels,,TE,ARI,12,,,,,,,,0,0,--,0,23,17,196,11.3,1.9,,,,,,30.9
,Geoff Swaim,,TE,TEN,13,,,,,,,,0,0,--,0,29,20,213,10.5,1.4,,,,,,29.7
,Dan Arnold,,TE,CAR,13,,,,,,,,0,0,--,0,31,19,200,10.4,1.6,,,,,,29.7
,Blake Bell,,TE,KC,12,,,,,,,,0,0,--,0,30,20,212,10.7,1.3,,,,,,29
,Darren Fells,,TE,DET,9,,,,,,,,0,0,--,0,30,17,194,11.5,1.5,,,,,,28.4
,Ian Thomas,,TE,CAR,13,,,,,,,,0,0,--,0,27,18,188,10.4,1.6,,,,,,28.4
,C.J. Uzomah,,TE,CIN,10,,,,,,,,0,0,--,0,30,21,191,9.1,1.4,,,,,,27.5
,Trevon Wesco,,TE,NYJ,6,,,,,,,,1,2,2.3,0,30,18,186,10.2,1,,,,,,24.8
,Cameron Brate,,TE,TB,9,,,,,,,,0,0,--,0,29,17,189,11,0.8,,,,,,23.7
