RANK,PLAYER,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,FPTS
94,Kareem Hunt,Kareem Hunt,RB,CLE,13,,,,,0,0,0,124,569,4.6,4.4,65,45,373,8.3,3.1,,,,,,139.2
95,,Greg Joseph,K,MIN,7,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,138.9
96,Chase Claypool,Chase Claypool,WR,PIT,7,,,,,12,0.2,0,9,44,4.7,0.4,103,64,882,13.8,7.1,,,,,,138.8
97,,Robbie Gould,K,SF,6,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,138.2
98,Ja'Marr Chase,Ja'Marr Chase,WR,CIN,10,,,,,0,0,0,10,52,5.2,0.4,122,67,950,14.2,5.9,,,,,,138.1
99,,Tristan Vizcaino,K,LAC,7,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,136.4
100,James Conner,James Conner,RB,ARI,12,,,,,0,0,0,151,620,4.1,7.2,40,30,227,7.6,1.4,,,,,,136.3
101,George Kittle,George Kittle,TE,SF,6,,,,,0,0,0,2,12,5.6,0.1,107,76,1002,13.3,5.7,,,,,,136.2
102,,Tampa Bay Buccaneers,DST,TB,9,,,,,--,--,--,,--,,--,,--,--,,--,14,9.7,49.3,3.3,20.1,136.1
102,,Brandon McManus,K,DEN,11,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,136.1
104,,Matt Prater,K,ARI,12,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,135.9
105,,Jason Myers,K,SEA,9,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,135.6
106,Ronald Jones II,Ronald Jones II,RB,TB,9,,,,,0,0,0,177,813,4.6,6.7,20,16,106,6.7,0.3,,,,,,134
107,,Dustin Hopkins,K,WAS,9,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,133.9
108,,Wil Lutz,K,NO,6,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,132.7
109,,Graham Gano,K,NYG,10,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,132.2
109,Chase Edmonds,Chase Edmonds,RB,ARI,12,,,,,0,0,0,142,579,4.1,5,53,41,329,8.1,1.9,,,,,,132.2
111,,Chris Boswell,K,PIT,7,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,131.7
112,,Rodrigo Blankenship,K,IND,14,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,131.4
113,,Cairo Santos,K,CHI,10,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,131.3
114,Diontae Johnson,Diontae Johnson,WR,PIT,7,,,,,0,0,0,2,13,6,0.1,128,81,902,11.2,6.5,,,,,,131.2
115,,Chase McLaughlin,K,CLE,13,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,130.9
115,,Quinn Nordin,K,NE,14,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,130.9
115,Jerry Jeudy,Jerry Jeudy,WR,DEN,11,,,,,8,0.2,0,2,16,8.4,0.1,109,65,939,14.4,5.6,,,,,,130.9
118,,Denver Broncos,DST,DEN,11,,,,,--,--,--,,--,,--,,--,--,,--,15.3,9.9,47.9,3.1,22,128.9
119,,Mason Crosby,K,GB,13,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,128.8
