RANK,PLAYER,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,YardsAgainst,FGM,FGA,XPM,FPTS
156,Cole Kmet,Cole Kmet,TE,CHI,14,0,0,0,0,0,0,0,0,0,0,0,85,56,601,10.73214286,4,0,0,0,0,0,0,0,0,0,137.6
157,James Cook,James Cook,RB,BUF,7,0,0,0,0,0,0,0,84,363,4.321428571,2,56,43,324,7.534883721,2,0,0,0,0,0,0,0,0,0,137
158,Michael Gallup,Michael Gallup,WR,DAL,9,0,0,0,0,0,0,0,0,0,0,0,75,43,634,14.74418605,5,0,0,0,0,0,0,0,0,0,136.5
159,Irv Smith Jr.,Irv Smith Jr.,TE,MIN,7,0,0,0,0,0,0,0,0,0,0,0,75,53,524,9.886792453,5,0,0,0,0,0,0,0,0,0,136.2
160,Velus Jones Jr.,Velus Jones Jr.,WR,CHI,14,0,0,0,0,0,0,0,4,25,6.25,0,80,50,610,12.2,3,0,0,0,0,0,0,0,0,0,135.7
161,Dawson Knox,Dawson Knox,TE,BUF,7,0,0,0,0,0,0,0,0,0,0,0,71,46,557,12.10869565,6,0,0,0,0,0,0,0,0,0,135.2
162,David Njoku,David Njoku,TE,CLE,9,0,0,0,0,0,0,0,0,0,0,0,71,47,582,12.38297872,5,0,0,0,0,0,0,0,0,0,134.9
163,Curtis Samuel,Curtis Samuel,WR,WSH,14,0,0,0,0,0,0,0,13,76,5.846153846,1,71,45,527,11.71111111,4,0,0,0,0,0,0,0,0,0,133.3
164,Kendrick Bourne,Kendrick Bourne,WR,NE,10,0,0,0,0,0,0,0,13,93,7.153846154,1,66,49,525,10.71428571,3,0,0,0,0,0,0,0,0,0,133.1
165,KJ Hamler,KJ Hamler,WR,DEN,9,0,0,0,0,0,0,0,0,0,0,0,78,46,631,13.7173913,4,0,0,0,0,0,0,0,0,0,132.1
166,Kenneth Walker III,Kenneth Walker III,RB,SEA,11,0,0,0,0,0,0,0,156,684,4.384615385,4,28,21,155,7.380952381,1,0,0,0,0,0,0,0,0,0,131.3
167,Hayden Hurst,Hayden Hurst,TE,CIN,10,0,0,0,0,0,0,0,0,0,0,0,74,52,533,10.25,4,0,0,0,0,0,0,0,0,0,130.4
168,Christian Watson,Christian Watson,WR,GB,14,0,0,0,0,0,0,0,4,24,6,0,69,43,564,13.11627907,5,0,0,0,0,0,0,0,0,0,130.2
169,Justin Tucker,Justin Tucker,K,BAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9,34.2,40.1,129.9
170,Tyler Higbee,Tyler Higbee,TE,LAR,7,0,0,0,0,0,0,0,0,0,0,0,72,52,502,9.653846154,5,0,0,0,0,0,0,0,0,0,129.8
171,Harrison Butker,Harrison Butker,K,KC,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7,31.6,46.2,129.4
172,Daniel Carlson,Daniel Carlson,K,LV,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6,35.8,37.5,129.3
173,Matt Gay,Matt Gay,K,LAR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2,34.4,41.3,128.9
174,Dameon Pierce,Dameon Pierce,RB,HOU,6,0,0,0,0,0,0,0,146,627,4.294520548,4,29,23,166,7.217391304,1,0,0,0,0,0,0,0,0,0,128.2
175,Julio Jones,Julio Jones,WR,TB,11,0,0,0,0,0,0,0,0,0,0,0,72,47,573,12.19148936,4,0,0,0,0,0,0,0,0,0,127.8
