RANK,PLAYER,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,YardsAgainst,FGM,FGA,XPM,FPTS
228,Los Angeles Chargers,Los Angeles Chargers,DST,LAC,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,10.8,42.1,2.7,23.24705882,345.1176471,0,0,0,109.2
229,San Francisco 49ers,San Francisco 49ers,DST,SF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,10.5,44.7,2.6,21.08823529,324.2294118,0,0,0,108.7
230,Ronald Jones,Ronald Jones,RB,KC,8,0,0,0,0,0,0,0,125,533,4.264,5,19,14,98,7,0,0,0,0,0,0,0,0,0,0,108.3
231,Jamison Crowder,Jamison Crowder,WR,BUF,7,0,0,0,0,0,0,0,0,0,0,0,65,43,436,10.13953488,4,0,0,0,0,0,0,0,0,0,108.3
232,Zane Gonzalez,Zane Gonzalez,K,CAR,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7,29.9,30.8,107.8
233,Austin Seibert,Austin Seibert,K,DET,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30.1,32.7,107.8
234,Eddy Pineiro,Eddy Pineiro,K,NYJ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,35,107
235,Indianapolis Colts,Indianapolis Colts,DST,IND,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,11.2,35.9,2.7,21.48823529,336.4411765,0,0,0,106.8
236,Minnesota Vikings,Minnesota Vikings,DST,MIN,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9.4,42.1,2.8,22.94117647,345.4941176,0,0,0,105.9
237,Dee Eskridge,Dee Eskridge,WR,SEA,11,0,0,0,0,0,0,0,8,52,6.5,0,62,38,465,12.23684211,3,0,0,0,0,0,0,0,0,0,105.8
238,New England Patriots,New England Patriots,DST,NE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9.4,40.3,2.6,21.50588235,336.5823529,0,0,0,105.5
239,Darrell Henderson Jr.,Darrell Henderson Jr.,RB,LAR,7,0,0,0,0,0,0,0,91,399,4.384615385,3,30,22,166,7.545454545,1,0,0,0,0,0,0,0,0,0,105.4
240,Cleveland Browns,Cleveland Browns,DST,CLE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,8.9,43,2.5,21.71176471,329.0823529,0,0,0,105.3
241,Kansas City Chiefs,Kansas City Chiefs,DST,KC,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,10.4,37.8,2.8,22.91764706,353.9470588,0,0,0,105.1
242,Arizona Cardinals,Arizona Cardinals,DST,ARI,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,11.3,39,2.4,22.94117647,343.6764706,0,0,0,104
243,Jason Myers,Jason Myers,K,SEA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,28.3,33.5,103.7
244,Isaiah McKenzie,Isaiah McKenzie,WR,BUF,7,0,0,0,0,0,0,0,10,58,5.8,1,53,38,375,9.868421053,3,0,0,0,0,0,0,0,0,0,103.2
245,Ka'imi Fairbairn,Ka'imi Fairbairn,K,HOU,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,29.2,30.1,103.2
246,Donovan Peoples-Jones,Donovan Peoples-Jones,WR,CLE,9,0,0,0,0,0,0,0,0,0,0,0,60,37,509,13.75675676,3,0,0,0,0,0,0,0,0,0,103.1
247,Mo Alie-Cox,Mo Alie-Cox,TE,IND,14,0,0,0,0,0,0,0,0,0,0,0,54,35,437,12.48571429,4,0,0,0,0,0,0,0,0,0,102.9
248,Denver Broncos,Denver Broncos,DST,DEN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,40.7,2.6,22.57647059,343.7470588,0,0,0,102.6
249,Tennessee Titans,Tennessee Titans,DST,TEN,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,8.8,41.8,2.5,21.22941176,340.2705882,0,0,0,102.1
250,Geno Smith,Geno Smith,QB,SEA,11,156,241,0.6473029046,7.265560166,1751,8,5,21,73,3.476190476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
251,Cincinnati Bengals,Cincinnati Bengals,DST,CIN,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,8.9,39.8,2.4,22.21176471,347.8941176,0,0,0,101.9
252,Greg Zuerlein,Greg Zuerlein,K,NYJ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,29.7,30.2,101.8
253,Riley Patterson,Riley Patterson,K,DET,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,32.2,101.8
254,Baltimore Ravens,Baltimore Ravens,DST,BAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,9.6,38.7,2.6,20.99411765,339.3647059,0,0,0,101.7
255,Washington Commanders,Washington Commanders,DST,WSH,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,10,39.7,2.5,22.91176471,345.1764706,0,0,0,101.7
256,Chicago Bears,Chicago Bears,DST,CHI,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,9.9,41.9,2.3,23.64705882,342.3294118,0,0,0,101.7
257,Braxton Berrios,Braxton Berrios,WR,NYJ,10,0,0,0,0,0,0,0,8,48,6,0,57,38,391,10.28947368,2,0,0,0,0,0,0,0,0,0,101.1
258,Kenneth Gainwell,Kenneth Gainwell,RB,PHI,7,0,0,0,0,0,0,0,77,332,4.311688312,3,34,25,192,7.68,1,0,0,0,0,0,0,0,0,0,100.9
259,Ryan Santoso,Ryan Santoso,K,JAX,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,29.1,28.4,99.8
260,Carolina Panthers,Carolina Panthers,DST,CAR,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,9.9,39.4,2.4,24.02352941,330.7823529,0,0,0,99.8
261,Philadelphia Eagles,Philadelphia Eagles,DST,PHI,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,8.7,39.6,2.7,22.10588235,338.8764706,0,0,0,99.3
262,Damien Williams,Damien Williams,RB,ATL,14,0,0,0,0,0,0,0,81,354,4.37037037,2,33,24,190,7.916666667,1,0,0,0,0,0,0,0,0,0,99
263,Terrace Marshall Jr.,Terrace Marshall Jr.,WR,CAR,13,0,0,0,0,0,0,0,0,0,0,0,63,39,465,11.92307692,2,0,0,0,0,0,0,0,0,0,98.4
264,Bryan Edwards,Bryan Edwards,WR,ATL,14,0,0,0,0,0,0,0,0,0,0,0,59,35,489,13.97142857,2,0,0,0,0,0,0,0,0,0,98.2
265,Mark Ingram II,Mark Ingram II,RB,NO,14,0,0,0,0,0,0,0,120,463,3.858333333,4,21,16,112,7,0,0,0,0,0,0,0,0,0,0,97.6
266,Logan Thomas,Logan Thomas,TE,WSH,14,0,0,0,0,0,0,0,0,0,0,0,55,36,384,10.66666667,4,0,0,0,0,0,0,0,0,0,97.2
267,New York Giants,New York Giants,DST,NYG,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,9.3,38.2,2.3,23.74705882,340.8705882,0,0,0,97.2
268,Khalil Herbert,Khalil Herbert,RB,CHI,14,0,0,0,0,0,0,0,108,464,4.296296296,3,22,17,119,7,1,0,0,0,0,0,0,0,0,0,97
269,Darrel Williams,Darrel Williams,RB,ARI,13,0,0,0,0,0,0,0,59,241,4.084745763,3,34,27,224,8.296296296,1,0,0,0,0,0,0,0,0,0,96.3
270,Rachaad White,Rachaad White,RB,TB,11,0,0,0,0,0,0,0,76,324,4.263157895,3,32,24,185,7.708333333,1,0,0,0,0,0,0,0,0,0,96
271,Parris Campbell,Parris Campbell,WR,IND,14,0,0,0,0,0,0,0,0,0,0,0,59,36,459,12.75,2,0,0,0,0,0,0,0,0,0,95.6
272,Seattle Seahawks,Seattle Seahawks,DST,SEA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,8.9,36.9,2.2,23.48235294,358.5176471,0,0,0,94.5
273,Houston Texans,Houston Texans,DST,HOU,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,9.5,35.3,2.3,25.47058824,375.0294118,0,0,0,93.7
274,Las Vegas Raiders,Las Vegas Raiders,DST,LV,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9.5,36.3,2.2,24.51764706,341.0588235,0,0,0,93.5
275,Jacksonville Jaguars,Jacksonville Jaguars,DST,JAX,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,8.4,38.7,2.2,25.15294118,359.6176471,0,0,0,93.5
276,New York Jets,New York Jets,DST,NYJ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,9.2,36.3,2.3,25.61764706,365.9352941,0,0,0,93.3
277,Jameson Williams,Jameson Williams,WR,DET,6,0,0,0,0,0,0,0,0,0,0,0,52,32,440,13.75,3,0,0,0,0,0,0,0,0,0,93.2
278,Romeo Doubs,Romeo Doubs,WR,GB,14,0,0,0,0,0,0,0,0,0,0,0,51,33,405,12.27272727,3,0,0,0,0,0,0,0,0,0,92.9
279,Detroit Lions,Detroit Lions,DST,DET,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,9.1,35.4,2.2,25.78823529,367.3588235,0,0,0,92.5
280,Brian Robinson,Brian Robinson,RB,WSH,14,0,0,0,0,0,0,0,98,413,4.214285714,4,16,12,88,7.333333333,0,0,0,0,0,0,0,0,0,0,91
281,Gus Edwards,Gus Edwards,RB,BAL,10,0,0,0,0,0,0,0,101,481,4.762376238,3,17,13,97,7.461538462,1,0,0,0,0,0,0,0,0,0,90.3
282,Dan Arnold,Dan Arnold,TE,JAX,11,0,0,0,0,0,0,0,0,0,0,0,53,35,411,11.74285714,2,0,0,0,0,0,0,0,0,0,90.1
283,Zay Jones,Zay Jones,WR,JAX,11,0,0,0,0,0,0,0,0,0,0,0,53,33,397,12.03030303,3,0,0,0,0,0,0,0,0,0,89.3
284,Tommy Tremble,Tommy Tremble,TE,CAR,13,0,0,0,0,0,0,0,4,12,3,0,52,34,371,10.91176471,2,0,0,0,0,0,0,0,0,0,88
285,Atlanta Falcons,Atlanta Falcons,DST,ATL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8.9,31,2.1,25.51176471,360.3411765,0,0,0,88
286,Kyle Rudolph,Kyle Rudolph,TE,TB,11,0,0,0,0,0,0,0,0,0,0,0,46,33,315,9.545454545,4,0,0,0,0,0,0,0,0,0,87.4
287,Jacoby Brissett,Jacoby Brissett,QB,CLE,9,114,179,0.6368715084,6.793296089,1216,9,4,19,64,3.368421053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.6
288,Byron Pringle,Byron Pringle,WR,CHI,14,0,0,0,0,0,0,0,0,0,0,0,53,36,392,10.88888889,2,0,0,0,0,0,0,0,0,0,86.3
289,Jauan Jennings,Jauan Jennings,WR,SF,9,0,0,0,0,0,0,0,0,0,0,0,52,32,373,11.65625,3,0,0,0,0,0,0,0,0,0,84.7
290,Sony Michel,Sony Michel,RB,MIA,11,0,0,0,0,0,0,0,116,477,4.112068966,3,12,8,60,7.5,0,0,0,0,0,0,0,0,0,0,83.3
291,Tyler Allgeier,Tyler Allgeier,RB,ATL,14,0,0,0,0,0,0,0,101,415,4.108910891,2,21,16,116,7.25,1,0,0,0,0,0,0,0,0,0,83.2
292,Samaje Perine,Samaje Perine,RB,CIN,10,0,0,0,0,0,0,0,64,275,4.296875,2,28,22,155,7.045454545,1,0,0,0,0,0,0,0,0,0,82.7
293,Sammy Watkins,Sammy Watkins,WR,GB,14,0,0,0,0,0,0,0,2,12,6,0,46,29,376,12.96551724,2,0,0,0,0,0,0,0,0,0,82.7
294,Jerick McKinnon,Jerick McKinnon,RB,KC,8,0,0,0,0,0,0,0,32,139,4.34375,1,38,28,235,8.392857143,1,0,0,0,0,0,0,0,0,0,82.3
295,Anthony Schwartz,Anthony Schwartz,WR,CLE,9,0,0,0,0,0,0,0,7,41,5.857142857,0,45,27,343,12.7037037,2,0,0,0,0,0,0,0,0,0,81.3
296,Sterling Shepard,Sterling Shepard,WR,NYG,9,0,0,0,0,0,0,0,0,0,0,0,52,35,356,10.17142857,2,0,0,0,0,0,0,0,0,0,81.1
297,Adam Trautman,Adam Trautman,TE,NO,14,0,0,0,0,0,0,0,0,0,0,0,48,31,326,10.51612903,3,0,0,0,0,0,0,0,0,0,80.9
298,Demarcus Robinson,Demarcus Robinson,WR,LV,6,0,0,0,0,0,0,0,0,0,0,0,47,29,344,11.86206897,2,0,0,0,0,0,0,0,0,0,77.6
299,Dontrell Hilliard,Dontrell Hilliard,RB,TEN,6,0,0,0,0,0,0,0,38,171,4.5,1,37,29,197,6.793103448,1,0,0,0,0,0,0,0,0,0,76.8
300,C.J. Uzomah,C.J. Uzomah,TE,NYJ,10,0,0,0,0,0,0,0,0,0,0,0,46,34,305,8.970588235,2,0,0,0,0,0,0,0,0,0,75.9
301,Tutu Atwell,Tutu Atwell,WR,LAR,7,0,0,0,0,0,0,0,0,0,0,0,42,26,319,12.26923077,2,0,0,0,0,0,0,0,0,0,73.3
302,Jonnu Smith,Jonnu Smith,TE,NE,10,0,0,0,0,0,0,0,9,43,4.777777778,1,33,22,270,12.27272727,2,0,0,0,0,0,0,0,0,0,69.3
303,David Bell,David Bell,WR,CLE,9,0,0,0,0,0,0,0,0,0,0,0,40,26,304,11.69230769,2,0,0,0,0,0,0,0,0,0,68.5
304,James Washington,James Washington,WR,DAL,9,0,0,0,0,0,0,0,0,0,0,0,38,21,315,15,3,0,0,0,0,0,0,0,0,0,67.6
305,Zamir White,Zamir White,RB,LV,6,0,0,0,0,0,0,0,71,294,4.14084507,3,14,11,82,7.454545455,0,0,0,0,0,0,0,0,0,0,66.6
306,Phillip Dorsett,Phillip Dorsett,WR,HOU,6,0,0,0,0,0,0,0,0,0,0,0,42,25,314,12.56,2,0,0,0,0,0,0,0,0,0,66.5
307,James Proche II,James Proche II,WR,BAL,10,0,0,0,0,0,0,0,0,0,0,0,40,26,305,11.73076923,2,0,0,0,0,0,0,0,0,0,66.4
308,Tyler Conklin,Tyler Conklin,TE,NYJ,10,0,0,0,0,0,0,0,0,0,0,0,40,28,265,9.464285714,2,0,0,0,0,0,0,0,0,0,65.8
309,Matt Breida,Matt Breida,RB,NYG,9,0,0,0,0,0,0,0,63,298,4.73015873,1,17,14,98,7,1,0,0,0,0,0,0,0,0,0,64.3
310,Ty Montgomery,Ty Montgomery,RB,NE,10,0,0,0,0,0,0,0,22,94,4.272727273,1,33,24,191,7.958333333,1,0,0,0,0,0,0,0,0,0,64.3
311,Harrison Bryant,Harrison Bryant,TE,CLE,9,0,0,0,0,0,0,0,0,0,0,0,35,24,250,10.41666667,3,0,0,0,0,0,0,0,0,0,64.2
312,Cameron Brate,Cameron Brate,TE,TB,11,0,0,0,0,0,0,0,0,0,0,0,39,24,241,10.04166667,3,0,0,0,0,0,0,0,0,0,63.9
313,Boston Scott,Boston Scott,RB,PHI,7,0,0,0,0,0,0,0,68,295,4.338235294,3,10,7,55,7.857142857,0,0,0,0,0,0,0,0,0,0,63.8
314,Olamide Zaccheaus,Olamide Zaccheaus,WR,ATL,14,0,0,0,0,0,0,0,0,0,0,0,43,25,303,12.12,1,0,0,0,0,0,0,0,0,0,63.1
315,Nelson Agholor,Nelson Agholor,WR,NE,10,0,0,0,0,0,0,0,4,27,6.75,0,33,20,269,13.45,2,0,0,0,0,0,0,0,0,0,60.3
316,Chuba Hubbard,Chuba Hubbard,RB,CAR,13,0,0,0,0,0,0,0,61,241,3.950819672,2,17,13,91,7,0,0,0,0,0,0,0,0,0,0,59.6
317,Lirim Hajrullahu,Lirim Hajrullahu,K,DAL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,19.5,58.5
318,Daniel Bellinger,Daniel Bellinger,TE,NYG,9,0,0,0,0,0,0,0,0,0,0,0,34,24,246,10.25,2,0,0,0,0,0,0,0,0,0,58.3
319,Josh Reynolds,Josh Reynolds,WR,DET,6,0,0,0,0,0,0,0,0,0,0,0,33,19,267,14.05263158,2,0,0,0,0,0,0,0,0,0,58.2
320,Freddie Swain,Freddie Swain,WR,SEA,11,0,0,0,0,0,0,0,2,12,6,0,34,21,263,12.52380952,1,0,0,0,0,0,0,0,0,0,57.8
321,D'Onta Foreman,D'Onta Foreman,RB,CAR,13,0,0,0,0,0,0,0,69,293,4.246376812,2,11,9,64,7.111111111,0,0,0,0,0,0,0,0,0,0,57.5
322,Donald Parham Jr.,Donald Parham Jr.,TE,LAC,8,0,0,0,0,0,0,0,0,0,0,0,30,20,212,10.6,3,0,0,0,0,0,0,0,0,0,57.1
323,Kylen Granson,Kylen Granson,TE,IND,14,0,0,0,0,0,0,0,0,0,0,0,32,22,231,10.5,2,0,0,0,0,0,0,0,0,0,56.8
324,Chris Evans,Chris Evans,RB,CIN,10,0,0,0,0,0,0,0,32,138,4.3125,1,23,17,129,7.588235294,1,0,0,0,0,0,0,0,0,0,56.4
325,John Bates,John Bates,TE,WSH,14,0,0,0,0,0,0,0,0,0,0,0,32,22,236,10.72727273,2,0,0,0,0,0,0,0,0,0,56.2
326,Noah Brown,Noah Brown,WR,DAL,9,0,0,0,0,0,0,0,0,0,0,0,33,20,253,12.65,2,0,0,0,0,0,0,0,0,0,56.1
327,Geoff Swaim,Geoff Swaim,TE,TEN,6,0,0,0,0,0,0,0,0,0,0,0,31,23,197,8.565217391,2,0,0,0,0,0,0,0,0,0,54.1
328,Hassan Haskins,Hassan Haskins,RB,TEN,6,0,0,0,0,0,0,0,53,220,4.150943396,1,15,12,88,7.333333333,0,0,0,0,0,0,0,0,0,0,53.9
329,Ke'Shawn Vaughn,Ke'Shawn Vaughn,RB,TB,11,0,0,0,0,0,0,0,68,289,4.25,3,6,5,33,6.6,0,0,0,0,0,0,0,0,0,0,53.4
330,Calvin Austin III,Calvin Austin III,WR,PIT,9,0,0,0,0,0,0,0,0,0,0,0,35,22,244,11.09090909,1,0,0,0,0,0,0,0,0,0,53
331,Foster Moreau,Foster Moreau,TE,LV,6,0,0,0,0,0,0,0,0,0,0,0,29,19,215,11.31578947,2,0,0,0,0,0,0,0,0,0,52.8
332,Kyle Juszczyk,Kyle Juszczyk,RB,SF,9,0,0,0,0,0,0,0,10,42,4.2,0,28,21,160,7.619047619,1,0,0,0,0,0,0,0,0,0,52.1
333,O.J. Howard,O.J. Howard,TE,BUF,7,0,0,0,0,0,0,0,0,0,0,0,29,19,228,12,2,0,0,0,0,0,0,0,0,0,51.9
334,Josiah Deguara,Josiah Deguara,TE,GB,14,0,0,0,0,0,0,0,0,0,0,0,28,19,209,11,2,0,0,0,0,0,0,0,0,0,51.9
335,Tylan Wallace,Tylan Wallace,WR,BAL,10,0,0,0,0,0,0,0,0,0,0,0,30,19,229,12.05263158,2,0,0,0,0,0,0,0,0,0,51.4
336,Greg Dulcich,Greg Dulcich,TE,DEN,9,0,0,0,0,0,0,0,0,0,0,0,28,19,200,10.52631579,2,0,0,0,0,0,0,0,0,0,51
337,Jalen Guyton,Jalen Guyton,WR,LAC,8,0,0,0,0,0,0,0,9,51,5.666666667,0,24,14,193,13.78571429,2,0,0,0,0,0,0,0,0,0,50.2
338,Tyrion Davis-Price,Tyrion Davis-Price,RB,SF,9,0,0,0,0,0,0,0,59,253,4.288135593,2,9,7,50,7.142857143,0,0,0,0,0,0,0,0,0,0,50
339,Ihmir Smith-Marsette,Ihmir Smith-Marsette,WR,MIN,7,0,0,0,0,0,0,0,0,0,0,0,28,18,215,11.94444444,2,0,0,0,0,0,0,0,0,0,49.2
340,Will Dissly,Will Dissly,TE,SEA,11,0,0,0,0,0,0,0,0,0,0,0,28,21,203,9.666666667,1,0,0,0,0,0,0,0,0,0,47.9
341,James O'Shaughnessy,James O'Shaughnessy,TE,CHI,14,0,0,0,0,0,0,0,0,0,0,0,32,22,218,9.909090909,1,0,0,0,0,0,0,0,0,0,47.7
342,Laviska Shenault Jr.,Laviska Shenault Jr.,WR,JAX,11,0,0,0,0,0,0,0,8,42,5.25,0,26,17,184,10.82352941,1,0,0,0,0,0,0,0,0,0,47.1
343,Tyrie Cleveland,Tyrie Cleveland,WR,DEN,9,0,0,0,0,0,0,0,0,0,0,0,27,17,209,12.29411765,2,0,0,0,0,0,0,0,0,0,47
344,Pharaoh Brown,Pharaoh Brown,TE,HOU,6,0,0,0,0,0,0,0,0,0,0,0,30,21,201,9.571428571,1,0,0,0,0,0,0,0,0,0,46.4
345,Tyquan Thornton,Tyquan Thornton,WR,NE,10,0,0,0,0,0,0,0,0,0,0,0,27,17,205,12.05882353,1,0,0,0,0,0,0,0,0,0,45.9
346,Mike Davis,Mike Davis,RB,BAL,10,0,0,0,0,0,0,0,51,201,3.941176471,2,10,8,46,5.75,0,0,0,0,0,0,0,0,0,0,43.8
347,Quez Watkins,Quez Watkins,WR,PHI,7,0,0,0,0,0,0,0,0,0,0,0,24,16,195,12.1875,1,0,0,0,0,0,0,0,0,0,43.2
348,Ian Thomas,Ian Thomas,TE,CAR,13,0,0,0,0,0,0,0,0,0,0,0,29,19,189,9.947368421,1,0,0,0,0,0,0,0,0,0,43
349,Amari Rodgers,Amari Rodgers,WR,GB,14,0,0,0,0,0,0,0,0,0,0,0,23,14,172,12.28571429,1,0,0,0,0,0,0,0,0,0,41
350,Darius Slayton,Darius Slayton,WR,NYG,9,0,0,0,0,0,0,0,0,0,0,0,27,14,203,14.5,1,0,0,0,0,0,0,0,0,0,40.7
351,Eno Benjamin,Eno Benjamin,RB,ARI,13,0,0,0,0,0,0,0,45,192,4.266666667,1,8,6,45,7.5,0,0,0,0,0,0,0,0,0,0,40
352,DeeJay Dallas,DeeJay Dallas,RB,Sea,11,0,0,0,0,0,0,0,19,79,4.157894737,1,20,15,99,6.6,0,0,0,0,0,0,0,0,0,0,39.9
353,Ashton Dulin,Ashton Dulin,WR,IND,14,0,0,0,0,0,0,0,5,30,6,0,21,13,159,12.23076923,1,0,0,0,0,0,0,0,0,0,39
354,Jordan Akins,Jordan Akins,TE,NYG,9,0,0,0,0,0,0,0,0,0,0,0,23,16,162,10.125,1,0,0,0,0,0,0,0,0,0,38.5
355,Keelan Cole,Keelan Cole,WR,LV,6,0,0,0,0,0,0,0,0,0,0,0,23,13,170,13.07692308,1,0,0,0,0,0,0,0,0,0,37.9
356,Montrell Washington,Montrell Washington,WR,DEN,9,0,0,0,0,0,0,0,0,0,0,0,19,12,144,12,1,0,0,0,0,0,0,0,0,0,36.8
357,Brandon Zylstra,Brandon Zylstra,WR,CAR,13,0,0,0,0,0,0,0,0,0,0,0,23,15,176,11.73333333,1,0,0,0,0,0,0,0,0,0,36.5
358,Zach Pascal,Zach Pascal,WR,PHI,7,0,0,0,0,0,0,0,0,0,0,0,21,12,144,12,2,0,0,0,0,0,0,0,0,0,35.8
359,Benny Snell Jr.,Benny Snell Jr.,RB,PIT,9,0,0,0,0,0,0,0,50,195,3.9,1,6,4,30,7.5,0,0,0,0,0,0,0,0,0,0,35.5
360,Teddy Bridgewater,Teddy Bridgewater,QB,MIA,11,46,70,0.6571428571,7.142857143,500,3,1,7,24,3.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4
361,Justin Jackson,Justin Jackson,RB,DET,6,0,0,0,0,0,0,0,24,113,4.708333333,1,13,11,75,6.818181818,0,0,0,0,0,0,0,0,0,0,35.4
362,Taysom Hill,Taysom Hill,TE,NO,14,0,0,0,0,0,0,0,18,91,5.055555556,1,11,7,77,11,1,0,0,0,0,0,0,0,0,0,35.3
363,Chester Rogers,Chester Rogers,WR,HOU,6,0,0,0,0,0,0,0,0,0,0,0,24,16,153,9.5625,1,0,0,0,0,0,0,0,0,0,34.5
364,Cade Otton,Cade Otton,TE,TB,11,0,0,0,0,0,0,0,0,0,0,0,20,13,141,10.84615385,1,0,0,0,0,0,0,0,0,0,34.4
365,Tyrod Taylor,Tyrod Taylor,QB,NYG,9,43,69,0.6231884058,6.811594203,470,2,2,12,61,5.083333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3
366,Anthony Firkser,Anthony Firkser,TE,ATL,14,0,0,0,0,0,0,0,0,0,0,0,21,16,136,8.5,1,0,0,0,0,0,0,0,0,0,33.8
367,Jeff Wilson Jr.,Jeff Wilson Jr.,RB,SF,9,0,0,0,0,0,0,0,25,101,4.04,1,12,8,63,7.875,1,0,0,0,0,0,0,0,0,0,33.4
368,Equanimeous St. Brown,Equanimeous St. Brown,WR,CHI,14,0,0,0,0,0,0,0,0,0,0,0,21,12,169,14.08333333,1,0,0,0,0,0,0,0,0,0,33.2
369,Gardner Minshew,Gardner Minshew,QB,PHI,7,38,60,0.6333333333,7.216666667,433,3,1,9,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9
370,Marquez Callaway,Marquez Callaway,WR,NO,14,0,0,0,0,0,0,0,9,53,5.888888889,0,16,9,116,12.88888889,1,0,0,0,0,0,0,0,0,0,32.8
371,Jelani Woods,Jelani Woods,TE,IND,14,0,0,0,0,0,0,0,0,0,0,0,19,13,132,10.15384615,1,0,0,0,0,0,0,0,0,0,32.7
372,Trey McBride,Trey McBride,TE,ARI,13,0,0,0,0,0,0,0,0,0,0,0,19,13,135,10.38461538,1,0,0,0,0,0,0,0,0,0,32.4
373,Giovani Bernard,Giovani Bernard,RB,TB,11,0,0,0,0,0,0,0,20,79,3.95,1,13,10,65,6.5,0,0,0,0,0,0,0,0,0,0,30.9
374,Joe Flacco,Joe Flacco,QB,NYJ,10,45,72,0.625,7.055555556,508,3,1,4,13,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8
375,Andy Dalton,Andy Dalton,QB,NO,14,42,65,0.6461538462,7.015384615,456,3,2,7,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4
376,Kalif Raymond,Kalif Raymond,WR,DET,6,0,0,0,0,0,0,0,2,13,6.5,0,16,11,121,11,1,0,0,0,0,0,0,0,0,0,29.9
377,Tyler Huntley,Tyler Huntley,QB,BAL,10,31,48,0.6458333333,6.729166667,323,2,1,14,77,5.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7
378,Richie James,Richie James,WR,NYG,9,0,0,0,0,0,0,0,0,0,0,0,15,10,124,12.4,1,0,0,0,0,0,0,0,0,0,29.1
379,Erik Ezukanma,Erik Ezukanma,WR,MIA,11,0,0,0,0,0,0,0,0,0,0,0,17,11,122,11.09090909,1,0,0,0,0,0,0,0,0,0,28.9
380,Ricky Seals-Jones,Ricky Seals-Jones,TE,NYG,9,0,0,0,0,0,0,0,0,0,0,0,17,11,121,11,1,0,0,0,0,0,0,0,0,0,28.8
381,Kyle Allen,Kyle Allen,QB,HOU,6,45,71,0.6338028169,7.014084507,498,2,2,4,18,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3
