RANK,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Fumbles,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,YardsAgainst,FGM,FGA,XPM,FPTS
278,Chris Olave,WR,NO,11,0,0,0,0,0,0,0,0,0.1,0,0,0,81.9,1147.00,14.004884,5.6,1.3,0,0,0,0,0,0,0,0,0,146.1
279,Amari Cooper,WR,CLE,5,0,0,0,0,0,0,0,0.5,1.6,3.2,0,0,73.5,1031.70,14.03673469,7,0.1,0,0,0,0,0,0,0,0,0,145.2
280,Christian Watson,WR,GB,6,0,0,0,0,0,0,0,8.6,69.8,8.11627907,1,0,69.2,958.3,13.8482659,6,0.2,0,0,0,0,0,0,0,0,0,144.4
281,DK Metcalf,WR,SEA,5,0,0,0,0,0,0,0,0.1,1.1,11,0,0,82.3,1021.60,12.41312272,7.2,0.8,0,0,0,0,0,0,0,0,0,143.9
282,DeVonta Smith,WR,PHI,10,0,0,0,0,0,0,0,0,0.1,0,0,0,82.9,1049.80,12.66344994,6.4,0.6,0,0,0,0,0,0,0,0,0,141.9
283,Calvin Ridley,WR,JAC,9,0,0,0,0,0,0,0,2.2,7.7,3.5,0,0,80.4,1021.30,12.70273632,6.5,0.5,0,0,0,0,0,0,0,0,0,141.3
284,Jerry Jeudy,WR,DEN,9,0,0,0,0,0,0,0,1.6,15,9.375,0,0,72.8,1050.30,14.4271978,5.6,0.2,0,0,0,0,0,0,0,0,0,140
285,DJ Moore,WR,CHI,13,0,0,0,0,0,0,0,6,37.1,6.183333333,0.1,0,67,940.8,14.04179104,6.4,0.3,0,0,0,0,0,0,0,0,0,135.8
286,Mike Williams,WR,LAC,5,0,0,0,0,0,0,0,1,4.5,4.5,0,0,70.9,988.2,13.93794076,6,0.1,0,0,0,0,0,0,0,0,0,135.5
287,Terry McLaurin,WR,WAS,14,0,0,0,0,0,0,0,3.3,20.1,6.090909091,0.1,0,73.8,1035.20,14.02710027,5,0.2,0,0,0,0,0,0,0,0,0,135.4
288,Mike Evans,WR,TB,5,0,0,0,0,0,0,0,0,6.8,0,0,0,71.3,991.5,13.90603086,5.8,0.1,0,0,0,0,0,0,0,0,0,134.3
289,Keenan Allen,WR,LAC,5,0,0,0,0,0,0,0,1.3,7.4,5.692307692,0,0,89.6,992.8,11.08035714,5.6,0.6,0,0,0,0,0,0,0,0,0,132.8
290,DeAndre Hopkins,WR,TEN,7,0,0,0,0,0,0,0,0.2,1.2,6,0,0,78.1,993.1,12.71574904,5.3,0.8,0,0,0,0,0,0,0,0,0,129.8
291,Christian Kirk,WR,JAC,9,0,0,0,0,0,0,0,3.5,21,6,0.1,0,74.2,919.1,12.38679245,5.9,0.5,0,0,0,0,0,0,0,0,0,128.8
292,Brandon Aiyuk,WR,SF,9,0,0,0,0,0,0,0,2.7,18.3,6.777777778,0.2,0,64.7,891.5,13.77897991,5.4,0.6,0,0,0,0,0,0,0,0,0,123.2
293,Drake London,WR,ATL,11,0,0,0,0,0,0,0,0,0.1,0,0,0,75.9,937.2,12.34782609,5.5,1.8,0,0,0,0,0,0,0,0,0,122.8
294,Chris Godwin,WR,TB,5,0,0,0,0,0,0,0,2.7,13.4,4.962962963,0.1,0,89.7,965.4,10.76254181,4.1,0.7,0,0,0,0,0,0,0,0,0,121.8
295,Tyler Lockett,WR,SEA,5,0,0,0,0,0,0,0,0.2,0.7,3.5,0,0,74.5,889.5,11.93959732,5.6,0.6,0,0,0,0,0,0,0,0,0,121.3
296,Marquise Brown,WR,ARI,14,0,0,0,0,0,0,0,1.4,8.3,5.928571429,0,0,77.8,910.5,11.70308483,4.8,0.3,0,0,0,0,0,0,0,0,0,120.6
297,Gabe Davis,WR,BUF,13,0,0,0,0,0,0,0,0.1,0.7,7,0,0,51.3,819.6,15.97660819,6.4,0.4,0,0,0,0,0,0,0,0,0,119.7
298,Jahan Dotson,WR,WAS,14,0,0,0,0,0,0,0,2.4,8.3,3.458333333,0.1,0,59,829.1,14.05254237,5.8,0.2,0,0,0,0,0,0,0,0,0,118.7
299,Diontae Johnson,WR,PIT,6,0,0,0,0,0,0,0,4.6,25.2,5.47826087,0,0,80.3,912.8,11.36737235,4.3,0.5,0,0,0,0,0,0,0,0,0,118.5
300,George Pickens,WR,PIT,6,0,0,0,0,0,0,0,2.8,18,6.428571429,0.4,0,56.3,836.7,14.86145648,5.1,0.2,0,0,0,0,0,0,0,0,0,117.8
301,Brandin Cooks,WR,DAL,7,0,0,0,0,0,0,0,3,19.4,6.466666667,0.1,0,62,812.1,13.0983871,4.7,0.1,0,0,0,0,0,0,0,0,0,111.9
